192,2,机场,ji1chang3,jīchǎng,airport
193,2,教室,jiao4shi4,jiàoshì,classroom
194,2,房间,fang2jian1,fángjiān,room
195,2,路,lu4,lù,road
196,2,左边,zuo3bian1,zuǒbiān,left
197,2,右边,you4bian1,yòubiān,right
198,2,外,wai4,wài,out
199,2,旁边,pang2bian1,pángbiān,side
200,2,早上,zao3shang4,zǎoshàng,morning
201,2,晚上,wan3shang4,wǎnshàng,night
202,2,小时,xiao3shi2,xiǎoshí,hour
203,2,时间,shi2jian1,shíjiān,time
204,2,去年,qu4nian2,qùnián,last year
205,2,号,hao4,hào,number
206,2,生日,sheng1ri4,shēngrì,birthday
207,2,哥哥,ge1ge,gēge,brother
208,2,姐姐,jie3jie,jiějie,sister
209,2,弟弟,di4di,dìdi,younger brother
210,2,妹妹,mei4mei,mèimei,sis
211,2,丈夫,zhang4fu,zhàngfu,husband
212,2,妻子,qi1zi,qīzi,wife
213,2,孩子,hai2zi,háizi,child
214,2,男人,nan2ren2,nánrén,man
215,2,女人,nv3ren2,nǚrén,woman
216,2,服务员,fu2wu4yuan2,fúwùyuán,waiter
217,2,鱼,yu2,yú,fish
218,2,羊肉,yang2rou4,yángròu,mutton
219,2,牛奶,niun2ai3,niúnǎi,milk
220,2,鸡蛋,ji1dan4,jīdàn,egg
221,2,西瓜,xi1gua1,xīguā,watermelon
222,2,咖啡,ka1fei1,kāfēi,coffee
223,2,自行车,zi4xing2che1,zìxíngchē,bike
224,2,船,chuan2,chuán,boat
225,2,雪,xue2,xué,snow
226,2,药,yao4,yào,medicine
227,2,手机,shou3ji1,shǒujī,phone
228,2,手表,shou3biao3,shǒubiǎo,watch
229,2,眼睛,yan3jing1,yǎnjīng,eye
230,2,身体,shen1ti3,shēntǐ,body
231,2,公共汽车,gong1gong4qi4che1,gōnggòngqìchē,bus
232,2,报纸,bao4zhi3,bàozhǐ,newspaper
233,2,汉语,han4yu3,hànyǔ,chinese
234,2,桌子,zhuo1o1zi,zhuōōzi,desk
235,2,门,men2,mén,door
236,2,题,ti2,tí,topic
237,2,课,ke4,kè,lesson
238,2,姓,xing4,xìng,surname
239,2,问题,wen4ti2,wèntí,question
240,2,事情,shi4qing,shìqing,matter
241,2,考试,kao3shi4,kǎoshì,exam
242,2,票,piao4,piào,ticket
243,2,意思,yi4si,yìsi,meaning
244,2,颜色,yan2se4,yánsè,color
245,2,欢迎,huan1ying2,huānyíng,welcome
246,2,问,wen4,wèn,ask
247,2,走,zou3,zǒu,walk
248,2,进,jin4,jìn,enter
249,2,出,chu1,chū,come
250,2,跑步,pao3bu4,pǎobù,run
251,2,到,dao4,dào,arrive
252,2,穿,chuan1,chuān,wear
253,2,洗,xi3,xǐ,wash
254,2,给,gei3,gěi,give
255,2,找,zhao3,zhǎo,find
256,2,懂,dong3,dǒng,understand
257,2,笑,xiao4,xiào,smile
258,2,回答,hui2da2,huídá,answer
259,2,告诉,gao4su4,gàosù,tell
260,2,准备,zhun3bei4,zhǔnbèi,prepare
261,2,开始,kai1shi3,kāishǐ,begin
262,2,介绍,jie4shao4,jièshào,introduce
263,2,帮助,bang1zhu4,bāngzhù,help
264,2,玩,wan2,wán,play
265,2,送,song4,sòng,present
266,2,等,deng3,děng,wait
267,2,让,rang4,ràng,let
268,2,起床,qi3chuang2,qǐchuáng,get up
269,2,唱歌,chang4ge1,chànggē,sing
270,2,跳舞,tiao4wu3,tiàowǔ,dance
271,2,旅游,lv3you2,lǚyóu,travel
272,2,上班,shang4ban1,shàngbān,be on duty
273,2,生病,sheng1bing4,shēngbìng,fall ill
274,2,休息,xiu1xi,xiūxi,rest
275,2,运动,yun4dong4,yùndòng,exercise
276,2,游泳,you2yong3,yóuyǒng,swim
277,2,踢足球,ti1zu2qiu2,tīzúqiú,play football
